Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-13 09:30:00-04:00,303.32000732421875,307.3999938964844,303.32000732421875,305.989990234375,50455,0.0,0.0
2026-03-13 09:35:00-04:00,305.5,305.989990234375,303.95001220703125,305.1499938964844,16581,0.0,0.0
2026-03-13 09:40:00-04:00,305.2255859375,306.29998779296875,304.7356872558594,306.29998779296875,14424,0.0,0.0
2026-03-13 09:45:00-04:00,306.2799987792969,307.55499267578125,305.3299865722656,305.70001220703125,19747,0.0,0.0
2026-03-13 09:50:00-04:00,305.489990234375,307.0799865722656,304.67999267578125,306.2900085449219,18709,0.0,0.0
2026-03-13 09:55:00-04:00,306.010009765625,306.32501220703125,305.3999938964844,305.63751220703125,15900,0.0,0.0
2026-03-13 10:00:00-04:00,305.8999938964844,307.7300109863281,305.8999938964844,307.7300109863281,14824,0.0,0.0
2026-03-13 10:05:00-04:00,307.82000732421875,308.79998779296875,305.8599853515625,305.8599853515625,23073,0.0,0.0
2026-03-13 10:10:00-04:00,306.0,306.0,303.8599853515625,303.8599853515625,12117,0.0,0.0
2026-03-13 10:15:00-04:00,303.5,304.05999755859375,303.385009765625,303.6449890136719,11566,0.0,0.0
2026-03-13 10:20:00-04:00,303.6449890136719,304.739990234375,303.57000732421875,304.5199890136719,8926,0.0,0.0
2026-03-13 10:25:00-04:00,304.6000061035156,305.1199951171875,304.1099853515625,304.9100036621094,14362,0.0,0.0
2026-03-13 10:30:00-04:00,304.9100036621094,305.1199035644531,304.1900939941406,304.6300048828125,16605,0.0,0.0
2026-03-13 10:35:00-04:00,304.489990234375,304.79998779296875,303.79998779296875,304.0400085449219,8769,0.0,0.0
2026-03-13 10:40:00-04:00,303.8399963378906,303.94000244140625,301.4200134277344,301.4599914550781,18898,0.0,0.0
2026-03-13 10:45:00-04:00,301.6499938964844,301.70001220703125,300.6449890136719,301.17999267578125,16519,0.0,0.0
2026-03-13 10:50:00-04:00,301.1499938964844,301.48779296875,300.4599914550781,300.4599914550781,7694,0.0,0.0
2026-03-13 10:55:00-04:00,300.4599914550781,300.4599914550781,298.875,299.3800048828125,19719,0.0,0.0
2026-03-13 11:00:00-04:00,299.42999267578125,299.7900085449219,298.989990234375,299.5,10615,0.0,0.0
2026-03-13 11:05:00-04:00,299.3901062011719,300.9800109863281,299.3901062011719,300.7950134277344,16950,0.0,0.0
2026-03-13 11:10:00-04:00,300.80499267578125,300.9200134277344,300.3949890136719,300.80499267578125,7841,0.0,0.0
2026-03-13 11:15:00-04:00,300.95001220703125,301.30999755859375,300.67999267578125,300.7749938964844,10713,0.0,0.0
2026-03-13 11:20:00-04:00,300.7799987792969,300.9512023925781,299.9599914550781,300.2200012207031,10859,0.0,0.0
2026-03-13 11:25:00-04:00,300.30499267578125,301.2799987792969,299.9800109863281,300.8299865722656,22076,0.0,0.0
2026-03-13 11:30:00-04:00,300.9700012207031,301.2300109863281,300.5899963378906,301.0450134277344,8815,0.0,0.0
2026-03-13 11:35:00-04:00,301.0400085449219,302.4800109863281,301.0299987792969,302.1700134277344,25216,0.0,0.0
2026-03-13 11:40:00-04:00,302.3900146484375,302.5,301.57000732421875,302.07000732421875,17517,0.0,0.0
2026-03-13 11:45:00-04:00,301.9549865722656,303.31451416015625,301.9549865722656,303.0899963378906,17179,0.0,0.0
2026-03-13 11:50:00-04:00,303.05999755859375,303.4049987792969,302.5,303.4049987792969,21147,0.0,0.0
2026-03-13 11:55:00-04:00,303.3999938964844,303.739990234375,302.80499267578125,303.2900085449219,26582,0.0,0.0
2026-03-13 12:00:00-04:00,303.3550109863281,304.1499938964844,303.3550109863281,303.7099914550781,13630,0.0,0.0
2026-03-13 12:05:00-04:00,303.79998779296875,304.4100036621094,303.57000732421875,304.2099914550781,21634,0.0,0.0
2026-03-13 12:10:00-04:00,304.2049865722656,304.3900146484375,302.739990234375,303.0299987792969,31881,0.0,0.0
2026-03-13 12:15:00-04:00,303.0299987792969,303.072509765625,301.3599853515625,301.989990234375,18936,0.0,0.0
2026-03-13 12:20:00-04:00,302.0400085449219,302.0400085449219,300.75,300.7699890136719,14997,0.0,0.0
2026-03-13 12:25:00-04:00,300.7900085449219,301.4700012207031,300.760009765625,301.2200012207031,14687,0.0,0.0
2026-03-13 12:30:00-04:00,301.239990234375,301.8900146484375,301.1000061035156,301.5849914550781,16419,0.0,0.0
2026-03-13 12:35:00-04:00,301.6664123535156,302.3500061035156,301.5199890136719,301.5400085449219,8087,0.0,0.0
2026-03-13 12:40:00-04:00,301.5400085449219,302.0899963378906,301.0299987792969,301.6199951171875,11180,0.0,0.0
2026-03-13 12:45:00-04:00,301.5799865722656,302.1000061035156,301.54998779296875,301.8450012207031,9189,0.0,0.0
2026-03-13 12:50:00-04:00,301.9599914550781,303.2550048828125,301.9599914550781,302.4200134277344,18611,0.0,0.0
2026-03-13 12:55:00-04:00,302.3500061035156,302.4049987792969,300.92999267578125,300.9728088378906,12219,0.0,0.0
2026-03-13 13:00:00-04:00,301.0249938964844,301.44000244140625,300.8800048828125,301.44000244140625,12177,0.0,0.0
2026-03-13 13:05:00-04:00,301.2749938964844,301.5799865722656,300.94000244140625,301.5450134277344,9356,0.0,0.0
2026-03-13 13:10:00-04:00,301.489990234375,302.29998779296875,300.9100036621094,302.29998779296875,15785,0.0,0.0
2026-03-13 13:15:00-04:00,302.3085021972656,302.4949951171875,301.6700134277344,302.4949951171875,16909,0.0,0.0
2026-03-13 13:20:00-04:00,302.4609069824219,302.5299987792969,301.5400085449219,302.5299987792969,11778,0.0,0.0
2026-03-13 13:25:00-04:00,302.32000732421875,302.5299987792969,301.5199890136719,301.5199890136719,23089,0.0,0.0
2026-03-13 13:30:00-04:00,301.5199890136719,301.7250061035156,301.07000732421875,301.5199890136719,11101,0.0,0.0
2026-03-13 13:35:00-04:00,301.42999267578125,302.239990234375,301.42999267578125,302.2200012207031,17362,0.0,0.0
2026-03-13 13:40:00-04:00,302.0899963378906,302.5,301.5299987792969,301.864990234375,12005,0.0,0.0
2026-03-13 13:45:00-04:00,301.864990234375,301.95001220703125,300.760009765625,300.8500061035156,16183,0.0,0.0
2026-03-13 13:50:00-04:00,300.8599853515625,301.3236999511719,300.5299987792969,300.9599914550781,10002,0.0,0.0
2026-03-13 13:55:00-04:00,300.885009765625,301.4700012207031,300.5462951660156,300.9750061035156,10428,0.0,0.0
2026-03-13 14:00:00-04:00,300.8999938964844,301.63250732421875,300.7200012207031,301.5249938964844,11578,0.0,0.0
2026-03-13 14:05:00-04:00,301.5199890136719,301.8999938964844,301.29998779296875,301.6499938964844,10960,0.0,0.0
2026-03-13 14:10:00-04:00,301.7850036621094,302.2300109863281,301.7001037597656,302.2099914550781,8591,0.0,0.0
2026-03-13 14:15:00-04:00,302.17999267578125,302.67999267578125,301.9800109863281,302.4549865722656,11629,0.0,0.0
