Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-03-13 09:30:00-04:00,115.08000183105469,115.13999938964844,114.75,114.76000213623047,5534901,0.0,0.0,0.0
2026-03-13 09:35:00-04:00,114.73999786376953,115.04000091552734,114.55999755859375,114.76000213623047,1017757,0.0,0.0,0.0
2026-03-13 09:40:00-04:00,114.75,115.56999969482422,114.75,115.23989868164062,854542,0.0,0.0,0.0
2026-03-13 09:45:00-04:00,115.23999786376953,115.72000122070312,115.1500015258789,115.69999694824219,876669,0.0,0.0,0.0
2026-03-13 09:50:00-04:00,115.69000244140625,115.75499725341797,114.75,115.26499938964844,2246565,0.0,0.0,0.0
2026-03-13 09:55:00-04:00,115.26000213623047,116.16999816894531,115.25,116.01000213623047,1268373,0.0,0.0,0.0
2026-03-13 10:00:00-04:00,116.0,116.48970031738281,115.86000061035156,115.9800033569336,1228747,0.0,0.0,0.0
2026-03-13 10:05:00-04:00,116.0,116.29000091552734,115.9000015258789,116.20999908447266,853775,0.0,0.0,0.0
2026-03-13 10:10:00-04:00,116.20999908447266,116.31999969482422,115.87000274658203,115.97000122070312,908876,0.0,0.0,0.0
2026-03-13 10:15:00-04:00,115.97000122070312,116.44999694824219,115.94499969482422,116.05000305175781,1008865,0.0,0.0,0.0
2026-03-13 10:20:00-04:00,116.05999755859375,116.11000061035156,115.68000030517578,115.94000244140625,980370,0.0,0.0,0.0
2026-03-13 10:25:00-04:00,115.94000244140625,116.19999694824219,115.91000366210938,116.08000183105469,670038,0.0,0.0,0.0
2026-03-13 10:30:00-04:00,116.0790023803711,116.08999633789062,115.45999908447266,115.80999755859375,642678,0.0,0.0,0.0
2026-03-13 10:35:00-04:00,115.81999969482422,116.38999938964844,115.7300033569336,116.37010192871094,725521,0.0,0.0,0.0
2026-03-13 10:40:00-04:00,116.37999725341797,116.91000366210938,116.33000183105469,116.76499938964844,911223,0.0,0.0,0.0
2026-03-13 10:45:00-04:00,116.74980163574219,117.0199966430664,116.45999908447266,116.66999816894531,954514,0.0,0.0,0.0
2026-03-13 10:50:00-04:00,116.68000030517578,117.11000061035156,116.51000213623047,117.06500244140625,617625,0.0,0.0,0.0
2026-03-13 10:55:00-04:00,117.06999969482422,117.41000366210938,116.87999725341797,117.2699966430664,752010,0.0,0.0,0.0
2026-03-13 11:00:00-04:00,117.22000122070312,117.79000091552734,117.0,117.69000244140625,803591,0.0,0.0,0.0
2026-03-13 11:05:00-04:00,117.69999694824219,117.80999755859375,117.23999786376953,117.36000061035156,492611,0.0,0.0,0.0
2026-03-13 11:10:00-04:00,117.37999725341797,117.73999786376953,117.37000274658203,117.46009826660156,393122,0.0,0.0,0.0
2026-03-13 11:15:00-04:00,117.44000244140625,117.76000213623047,117.33000183105469,117.75499725341797,411567,0.0,0.0,0.0
2026-03-13 11:20:00-04:00,117.73999786376953,117.9000015258789,117.43499755859375,117.80999755859375,475242,0.0,0.0,0.0
2026-03-13 11:25:00-04:00,117.80999755859375,117.81999969482422,117.4800033569336,117.5199966430664,391166,0.0,0.0,0.0
2026-03-13 11:30:00-04:00,117.5199966430664,118.18000030517578,117.51000213623047,117.88999938964844,641488,0.0,0.0,0.0
2026-03-13 11:35:00-04:00,117.9000015258789,118.37999725341797,117.9000015258789,118.30000305175781,548616,0.0,0.0,0.0
2026-03-13 11:40:00-04:00,118.29000091552734,118.66999816894531,118.19999694824219,118.37999725341797,716875,0.0,0.0,0.0
2026-03-13 11:45:00-04:00,118.36000061035156,118.69999694824219,117.20999908447266,117.9800033569336,2381406,0.0,0.0,0.0
2026-03-13 11:50:00-04:00,117.97000122070312,118.36990356445312,117.95999908447266,118.02999877929688,658116,0.0,0.0,0.0
2026-03-13 11:55:00-04:00,118.05000305175781,118.5,117.94000244140625,118.18000030517578,617508,0.0,0.0,0.0
2026-03-13 12:00:00-04:00,118.19000244140625,118.62000274658203,118.12999725341797,118.52989959716797,637822,0.0,0.0,0.0
2026-03-13 12:05:00-04:00,118.5199966430664,118.58999633789062,118.11000061035156,118.31999969482422,477244,0.0,0.0,0.0
2026-03-13 12:10:00-04:00,118.30000305175781,118.31999969482422,117.9749984741211,118.27999877929688,442008,0.0,0.0,0.0
2026-03-13 12:15:00-04:00,118.2750015258789,119.4000015258789,118.22000122070312,119.25,1392938,0.0,0.0,0.0
2026-03-13 12:20:00-04:00,119.20999908447266,119.20999908447266,118.91000366210938,119.04000091552734,432169,0.0,0.0,0.0
2026-03-13 12:25:00-04:00,119.05000305175781,119.16000366210938,118.77999877929688,118.96499633789062,660884,0.0,0.0,0.0
2026-03-13 12:30:00-04:00,118.98999786376953,119.06999969482422,118.47000122070312,118.58000183105469,611939,0.0,0.0,0.0
2026-03-13 12:35:00-04:00,118.58000183105469,118.66000366210938,118.18000030517578,118.40499877929688,559848,0.0,0.0,0.0
2026-03-13 12:40:00-04:00,118.41500091552734,118.7699966430664,118.12999725341797,118.68990325927734,394269,0.0,0.0,0.0
2026-03-13 12:45:00-04:00,118.69499969482422,118.7699966430664,118.4000015258789,118.56999969482422,374276,0.0,0.0,0.0
2026-03-13 12:50:00-04:00,118.5999984741211,118.80999755859375,118.33999633789062,118.68009948730469,296507,0.0,0.0,0.0
2026-03-13 12:55:00-04:00,118.69999694824219,118.76000213623047,118.55000305175781,118.58999633789062,209356,0.0,0.0,0.0
2026-03-13 13:00:00-04:00,118.58000183105469,118.7300033569336,118.4000015258789,118.52999877929688,254213,0.0,0.0,0.0
2026-03-13 13:05:00-04:00,118.5199966430664,118.56999969482422,118.0199966430664,118.21499633789062,406954,0.0,0.0,0.0
2026-03-13 13:10:00-04:00,118.19999694824219,118.4000015258789,118.08000183105469,118.16000366210938,450064,0.0,0.0,0.0
2026-03-13 13:15:00-04:00,118.13999938964844,118.52999877929688,118.02999877929688,118.16999816894531,596499,0.0,0.0,0.0
2026-03-13 13:20:00-04:00,118.16100311279297,118.4800033569336,118.02999877929688,118.24299621582031,302197,0.0,0.0,0.0
2026-03-13 13:25:00-04:00,118.23999786376953,118.30999755859375,118.08999633789062,118.1709976196289,280853,0.0,0.0,0.0
2026-03-13 13:30:00-04:00,118.16000366210938,118.68000030517578,118.16000366210938,118.63999938964844,316385,0.0,0.0,0.0
2026-03-13 13:35:00-04:00,118.63999938964844,118.97000122070312,118.61000061035156,118.94000244140625,418927,0.0,0.0,0.0
2026-03-13 13:40:00-04:00,118.93990325927734,119.36000061035156,118.9000015258789,119.23500061035156,543243,0.0,0.0,0.0
2026-03-13 13:45:00-04:00,119.23500061035156,119.69999694824219,119.19010162353516,119.6594009399414,618456,0.0,0.0,0.0
2026-03-13 13:50:00-04:00,119.6500015258789,119.91000366210938,119.5199966430664,119.61000061035156,560683,0.0,0.0,0.0
2026-03-13 13:55:00-04:00,119.60800170898438,119.87999725341797,119.4800033569336,119.62000274658203,535771,0.0,0.0,0.0
2026-03-13 14:00:00-04:00,119.58000183105469,119.70999908447266,119.27999877929688,119.52999877929688,439428,0.0,0.0,0.0
2026-03-13 14:05:00-04:00,119.55999755859375,120.41999816894531,119.54000091552734,120.23999786376953,860490,0.0,0.0,0.0
2026-03-13 14:10:00-04:00,120.22000122070312,120.98999786376953,120.05500030517578,120.56839752197266,926193,0.0,0.0,0.0
2026-03-13 14:15:00-04:00,120.56770324707031,121.1500015258789,120.41000366210938,121.0,790142,0.0,0.0,0.0
2026-03-13 14:20:00-04:00,121.0,121.12000274658203,120.68000030517578,120.81999969482422,783270,0.0,0.0,0.0
2026-03-13 14:25:00-04:00,120.83999633789062,120.94000244140625,120.33000183105469,120.36000061035156,919216,0.0,0.0,0.0
2026-03-13 14:30:00-04:00,120.37000274658203,120.37999725341797,119.86000061035156,120.05500030517578,690078,0.0,0.0,0.0
2026-03-13 14:35:00-04:00,120.06999969482422,120.25,119.83000183105469,119.84010314941406,442177,0.0,0.0,0.0
2026-03-13 14:40:00-04:00,119.81999969482422,119.8499984741211,119.0199966430664,119.33000183105469,916781,0.0,0.0,0.0
2026-03-13 14:45:00-04:00,119.33000183105469,119.41999816894531,118.76000213623047,118.86499786376953,817840,0.0,0.0,0.0
2026-03-13 14:50:00-04:00,118.86000061035156,119.26000213623047,118.61000061035156,119.1449966430664,806631,0.0,0.0,0.0
2026-03-13 14:55:00-04:00,119.1500015258789,119.20999908447266,119.02999877929688,119.12989807128906,359086,0.0,0.0,0.0
2026-03-13 15:00:00-04:00,119.13999938964844,119.36000061035156,119.04000091552734,119.22000122070312,410191,0.0,0.0,0.0
2026-03-13 15:05:00-04:00,119.2300033569336,119.31999969482422,118.95999908447266,119.12000274658203,383417,0.0,0.0,0.0
2026-03-13 15:10:00-04:00,119.11499786376953,119.33999633789062,118.86000061035156,119.29499816894531,338294,0.0,0.0,0.0
2026-03-13 15:15:00-04:00,119.30000305175781,119.69999694824219,119.05999755859375,119.68499755859375,556495,0.0,0.0,0.0
2026-03-13 15:20:00-04:00,119.6897964477539,119.7300033569336,119.33999633789062,119.55000305175781,431450,0.0,0.0,0.0
2026-03-13 15:25:00-04:00,119.55000305175781,119.70999908447266,119.33999633789062,119.61000061035156,498768,0.0,0.0,0.0
2026-03-13 15:30:00-04:00,119.62000274658203,119.75,119.4000015258789,119.51000213623047,396133,0.0,0.0,0.0
2026-03-13 15:35:00-04:00,119.5199966430664,119.66999816894531,119.30999755859375,119.66609954833984,354622,0.0,0.0,0.0
2026-03-13 15:40:00-04:00,119.66100311279297,120.0,119.6500015258789,119.7300033569336,648953,0.0,0.0,0.0
2026-03-13 15:45:00-04:00,119.7300033569336,119.73999786376953,119.19999694824219,119.56999969482422,948275,0.0,0.0,0.0
2026-03-13 15:50:00-04:00,119.56999969482422,119.87120056152344,119.55999755859375,119.75,608148,0.0,0.0,0.0
2026-03-13 15:55:00-04:00,119.77999877929688,119.94999694824219,119.72000122070312,119.87999725341797,791705,0.0,0.0,0.0
