Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-13 09:30:00-04:00,8.395000457763672,8.5,8.390000343322754,8.484999656677246,7265524,0.0,0.0
2026-03-13 09:35:00-04:00,8.479999542236328,8.569999694824219,8.444999694824219,8.561100006103516,2993404,0.0,0.0
2026-03-13 09:40:00-04:00,8.5649995803833,8.630000114440918,8.539999961853027,8.630000114440918,2429714,0.0,0.0
2026-03-13 09:45:00-04:00,8.625,8.65999984741211,8.59000015258789,8.609999656677246,2791984,0.0,0.0
2026-03-13 09:50:00-04:00,8.604999542236328,8.640000343322754,8.5600004196167,8.635000228881836,2634858,0.0,0.0
2026-03-13 09:55:00-04:00,8.635000228881836,8.65999984741211,8.600000381469727,8.630000114440918,2199737,0.0,0.0
2026-03-13 10:00:00-04:00,8.629899978637695,8.640000343322754,8.529999732971191,8.555000305175781,1772290,0.0,0.0
2026-03-13 10:05:00-04:00,8.550000190734863,8.569999694824219,8.520000457763672,8.555000305175781,2029108,0.0,0.0
2026-03-13 10:10:00-04:00,8.550100326538086,8.569999694824219,8.524999618530273,8.53499984741211,1834507,0.0,0.0
2026-03-13 10:15:00-04:00,8.53499984741211,8.569999694824219,8.510000228881836,8.555000305175781,1958981,0.0,0.0
2026-03-13 10:20:00-04:00,8.555000305175781,8.59000015258789,8.520000457763672,8.529899597167969,2133041,0.0,0.0
2026-03-13 10:25:00-04:00,8.52970027923584,8.539899826049805,8.5,8.520999908447266,1446453,0.0,0.0
2026-03-13 10:30:00-04:00,8.522700309753418,8.529999732971191,8.460000038146973,8.479999542236328,2305736,0.0,0.0
2026-03-13 10:35:00-04:00,8.484999656677246,8.484999656677246,8.4399995803833,8.443300247192383,1521911,0.0,0.0
2026-03-13 10:40:00-04:00,8.449799537658691,8.45989990234375,8.399999618530273,8.400099754333496,1666497,0.0,0.0
2026-03-13 10:45:00-04:00,8.399999618530273,8.430000305175781,8.399999618530273,8.419899940490723,1251412,0.0,0.0
2026-03-13 10:50:00-04:00,8.414999961853027,8.444999694824219,8.40999984741211,8.414999961853027,1972694,0.0,0.0
2026-03-13 10:55:00-04:00,8.41670036315918,8.425000190734863,8.3100004196167,8.311200141906738,2102960,0.0,0.0
2026-03-13 11:00:00-04:00,8.3149995803833,8.335000038146973,8.260000228881836,8.270000457763672,1567967,0.0,0.0
2026-03-13 11:05:00-04:00,8.274999618530273,8.279999732971191,8.239999771118164,8.265000343322754,1108076,0.0,0.0
2026-03-13 11:10:00-04:00,8.265000343322754,8.277214050292969,8.229999542236328,8.25,1757794,0.0,0.0
2026-03-13 11:15:00-04:00,8.255000114440918,8.260000228881836,8.229999542236328,8.255000114440918,1203177,0.0,0.0
2026-03-13 11:20:00-04:00,8.255000114440918,8.289999961853027,8.25,8.265000343322754,1352929,0.0,0.0
2026-03-13 11:25:00-04:00,8.265000343322754,8.289999961853027,8.25,8.276900291442871,765620,0.0,0.0
2026-03-13 11:30:00-04:00,8.274999618530273,8.289899826049805,8.25,8.279999732971191,821736,0.0,0.0
2026-03-13 11:35:00-04:00,8.279999732971191,8.3100004196167,8.25,8.255000114440918,1230519,0.0,0.0
2026-03-13 11:40:00-04:00,8.250100135803223,8.260000228881836,8.1899995803833,8.1899995803833,764082,0.0,0.0
2026-03-13 11:45:00-04:00,8.194999694824219,8.259900093078613,8.190699577331543,8.244999885559082,1010245,0.0,0.0
2026-03-13 11:50:00-04:00,8.244199752807617,8.25,8.210000038146973,8.229000091552734,655625,0.0,0.0
2026-03-13 11:55:00-04:00,8.225000381469727,8.229900360107422,8.199999809265137,8.21500015258789,772223,0.0,0.0
2026-03-13 12:00:00-04:00,8.21500015258789,8.229999542236328,8.210000038146973,8.21500015258789,572470,0.0,0.0
2026-03-13 12:05:00-04:00,8.21500015258789,8.219900131225586,8.1899995803833,8.204999923706055,615535,0.0,0.0
2026-03-13 12:10:00-04:00,8.210000038146973,8.229999542236328,8.199999809265137,8.225000381469727,523432,0.0,0.0
2026-03-13 12:15:00-04:00,8.229900360107422,8.229900360107422,8.199999809265137,8.204999923706055,578949,0.0,0.0
2026-03-13 12:20:00-04:00,8.206100463867188,8.239999771118164,8.199999809265137,8.234999656677246,362944,0.0,0.0
2026-03-13 12:25:00-04:00,8.234999656677246,8.270000457763672,8.210000038146973,8.255000114440918,1141317,0.0,0.0
2026-03-13 12:30:00-04:00,8.255000114440918,8.274999618530273,8.25,8.25,417782,0.0,0.0
2026-03-13 12:35:00-04:00,8.25,8.279999732971191,8.244999885559082,8.265000343322754,339658,0.0,0.0
2026-03-13 12:40:00-04:00,8.270000457763672,8.275799751281738,8.255000114440918,8.255000114440918,280919,0.0,0.0
2026-03-13 12:45:00-04:00,8.255000114440918,8.260000228881836,8.229999542236328,8.256099700927734,397994,0.0,0.0
2026-03-13 12:50:00-04:00,8.260000228881836,8.28499984741211,8.25,8.28499984741211,224454,0.0,0.0
2026-03-13 12:55:00-04:00,8.286100387573242,8.3100004196167,8.229999542236328,8.229999542236328,1216216,0.0,0.0
2026-03-13 13:00:00-04:00,8.234999656677246,8.239999771118164,8.199999809265137,8.225500106811523,846304,0.0,0.0
2026-03-13 13:05:00-04:00,8.225000381469727,8.25,8.220000267028809,8.23009967803955,296701,0.0,0.0
2026-03-13 13:10:00-04:00,8.234999656677246,8.249899864196777,8.220000267028809,8.2431001663208,193751,0.0,0.0
2026-03-13 13:15:00-04:00,8.244999885559082,8.25,8.220000267028809,8.239999771118164,633830,0.0,0.0
2026-03-13 13:20:00-04:00,8.234999656677246,8.246000289916992,8.220000267028809,8.244999885559082,165421,0.0,0.0
2026-03-13 13:25:00-04:00,8.244999885559082,8.255000114440918,8.220000267028809,8.241399765014648,615811,0.0,0.0
2026-03-13 13:30:00-04:00,8.244999885559082,8.249099731445312,8.220000267028809,8.225000381469727,255577,0.0,0.0
2026-03-13 13:35:00-04:00,8.228599548339844,8.234999656677246,8.210000038146973,8.21660041809082,161664,0.0,0.0
2026-03-13 13:40:00-04:00,8.21500015258789,8.225000381469727,8.1899995803833,8.206600189208984,543266,0.0,0.0
2026-03-13 13:45:00-04:00,8.210000038146973,8.21500015258789,8.180999755859375,8.1850004196167,296488,0.0,0.0
2026-03-13 13:50:00-04:00,8.181400299072266,8.210000038146973,8.180000305175781,8.210000038146973,464970,0.0,0.0
2026-03-13 13:55:00-04:00,8.204999923706055,8.210000038146973,8.180000305175781,8.199999809265137,408119,0.0,0.0
2026-03-13 14:00:00-04:00,8.199999809265137,8.220000267028809,8.199999809265137,8.21500015258789,263509,0.0,0.0
2026-03-13 14:05:00-04:00,8.21500015258789,8.229999542236328,8.210000038146973,8.219900131225586,299167,0.0,0.0
2026-03-13 14:10:00-04:00,8.220000267028809,8.229999542236328,8.199999809265137,8.21500015258789,500359,0.0,0.0
2026-03-13 14:15:00-04:00,8.21500015258789,8.249899864196777,8.210000038146973,8.21500015258789,1045780,0.0,0.0
2026-03-13 14:20:00-04:00,8.21780014038086,8.234999656677246,8.1899995803833,8.21500015258789,672248,0.0,0.0
2026-03-13 14:25:00-04:00,8.21500015258789,8.220000267028809,8.1899995803833,8.199899673461914,181581,0.0,0.0
2026-03-13 14:30:00-04:00,8.199899673461914,8.239999771118164,8.1899995803833,8.230999946594238,253178,0.0,0.0
2026-03-13 14:35:00-04:00,8.234999656677246,8.239999771118164,8.220000267028809,8.239999771118164,270466,0.0,0.0
2026-03-13 14:40:00-04:00,8.234999656677246,8.239999771118164,8.220000267028809,8.225000381469727,268919,0.0,0.0
2026-03-13 14:45:00-04:00,8.225000381469727,8.239899635314941,8.220000267028809,8.229999542236328,282011,0.0,0.0
2026-03-13 14:50:00-04:00,8.225000381469727,8.25,8.220000267028809,8.239999771118164,432756,0.0,0.0
2026-03-13 14:55:00-04:00,8.234999656677246,8.239999771118164,8.220000267028809,8.229999542236328,207729,0.0,0.0
2026-03-13 15:00:00-04:00,8.229999542236328,8.25,8.229999542236328,8.244999885559082,431426,0.0,0.0
2026-03-13 15:05:00-04:00,8.244999885559082,8.25,8.210000038146973,8.225000381469727,442493,0.0,0.0
2026-03-13 15:10:00-04:00,8.225000381469727,8.234999656677246,8.199999809265137,8.225000381469727,616414,0.0,0.0
2026-03-13 15:15:00-04:00,8.225000381469727,8.248200416564941,8.210000038146973,8.244999885559082,668882,0.0,0.0
2026-03-13 15:20:00-04:00,8.243900299072266,8.25,8.229999542236328,8.244999885559082,614158,0.0,0.0
2026-03-13 15:25:00-04:00,8.240099906921387,8.260000228881836,8.239999771118164,8.244999885559082,607559,0.0,0.0
2026-03-13 15:30:00-04:00,8.244999885559082,8.259499549865723,8.229999542236328,8.234999656677246,638399,0.0,0.0
2026-03-13 15:35:00-04:00,8.234999656677246,8.239999771118164,8.210000038146973,8.21500015258789,308435,0.0,0.0
2026-03-13 15:40:00-04:00,8.21500015258789,8.226200103759766,8.210000038146973,8.210000038146973,329386,0.0,0.0
